Serial_number:
2020421
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/12/2019,12:30:00 pm,0,64.2334,11.169
7/12/2019,12:45:00 pm,0,64.2901,11.537
7/12/2019,01:00:00 pm,0,64.3246,11.942
7/12/2019,01:15:00 pm,0,64.2857,12.033
7/12/2019,01:30:00 pm,0,64.3013,12.125
7/12/2019,01:45:00 pm,0,64.2971,12.197
7/12/2019,02:00:00 pm,0,64.3183,12.486
7/12/2019,02:15:00 pm,0,64.3550,12.700
7/12/2019,02:30:00 pm,0,64.3442,12.713
7/12/2019,02:45:00 pm,0,64.3457,12.776
7/12/2019,03:00:00 pm,0,64.3386,12.966
7/12/2019,03:15:00 pm,0,64.2519,13.307
7/12/2019,03:30:00 pm,0,64.2211,13.200
7/12/2019,03:45:00 pm,0,64.2009,13.254
7/12/2019,04:00:00 pm,0,64.2119,13.090
7/12/2019,04:15:00 pm,0,64.1708,12.927
7/12/2019,04:30:00 pm,0,64.1424,12.821
7/12/2019,04:45:00 pm,0,64.1341,12.672
7/12/2019,05:00:00 pm,0,64.1242,12.491
7/12/2019,05:15:00 pm,0,64.1178,12.253
7/12/2019,05:30:00 pm,0,64.1175,12.119
7/12/2019,05:45:00 pm,0,64.1042,11.906
7/12/2019,06:00:00 pm,0,64.0624,11.642
7/12/2019,06:15:00 pm,0,64.0344,11.398
7/12/2019,06:30:00 pm,0,64.0504,11.176
7/12/2019,06:45:00 pm,0,64.0392,10.927
7/12/2019,07:00:00 pm,0,64.0303,10.725
7/12/2019,07:15:00 pm,0,64.0379,10.541
7/12/2019,07:30:00 pm,0,64.0507,10.354
7/12/2019,07:45:00 pm,0,64.0558,10.201
7/12/2019,08:00:00 pm,0,64.0453,10.051
7/12/2019,08:15:00 pm,0,64.0537,9.916
7/12/2019,08:30:00 pm,0,64.0508,9.797
7/12/2019,08:45:00 pm,0,64.0576,9.672
7/12/2019,09:00:00 pm,0,64.0516,9.569
7/12/2019,09:15:00 pm,0,64.0675,9.455
7/12/2019,09:30:00 pm,0,64.0614,9.338
7/12/2019,09:45:00 pm,0,64.0418,9.218
7/12/2019,10:00:00 pm,0,64.0711,9.126
7/12/2019,10:15:00 pm,0,64.0604,9.053
7/12/2019,10:30:00 pm,0,64.0499,8.962
7/12/2019,10:45:00 pm,0,64.0629,8.872
7/12/2019,11:00:00 pm,0,64.0483,8.815
7/12/2019,11:15:00 pm,0,64.0375,8.752
7/12/2019,11:30:00 pm,0,64.0637,8.688
7/12/2019,11:45:00 pm,0,64.0404,8.625
7/13/2019,12:00:00 am,0,64.0429,8.564
7/13/2019,12:15:00 am,0,64.0253,8.524
7/13/2019,12:30:00 am,0,64.0182,8.463
7/13/2019,12:45:00 am,0,64.0059,8.410
7/13/2019,01:00:00 am,0,64.0102,8.357
7/13/2019,01:15:00 am,0,63.9991,8.307
7/13/2019,01:30:00 am,0,63.9898,8.255
7/13/2019,01:45:00 am,0,63.9794,8.196
7/13/2019,02:00:00 am,0,63.9673,8.148
7/13/2019,02:15:00 am,0,63.9506,8.096
7/13/2019,02:30:00 am,0,63.9356,8.057
7/13/2019,02:45:00 am,0,63.9346,8.004
7/13/2019,03:00:00 am,0,63.9283,7.951
7/13/2019,03:15:00 am,0,63.9681,7.870
7/13/2019,03:30:00 am,0,63.9417,7.752
7/13/2019,03:45:00 am,0,63.9271,7.704
7/13/2019,04:00:00 am,0,63.9172,7.649
7/13/2019,04:15:00 am,0,63.9418,7.591
7/13/2019,04:30:00 am,0,63.9358,7.540
7/13/2019,04:45:00 am,0,63.9504,7.493
7/13/2019,05:00:00 am,0,63.9980,7.438
7/13/2019,05:15:00 am,0,64.0182,7.376
7/13/2019,05:30:00 am,0,64.0155,7.280
7/13/2019,05:45:00 am,0,64.0435,7.183
7/13/2019,06:00:00 am,0,64.0524,7.079
7/13/2019,06:15:00 am,0,64.0455,7.048
7/13/2019,06:30:00 am,0,64.0779,7.038
7/13/2019,06:45:00 am,0,64.0704,7.018
7/13/2019,07:00:00 am,0,64.1166,6.987
7/13/2019,07:15:00 am,0,64.1611,6.953
7/13/2019,07:30:00 am,0,64.1740,6.940
7/13/2019,07:45:00 am,0,64.1660,6.933
7/13/2019,08:00:00 am,0,64.1631,6.969
7/13/2019,08:15:00 am,0,64.2131,6.993
7/13/2019,08:30:00 am,0,64.2502,7.045
7/13/2019,08:45:00 am,0,64.2566,7.096
7/13/2019,09:00:00 am,0,64.2392,7.193
7/13/2019,09:15:00 am,0,64.2705,7.307
7/13/2019,09:30:00 am,0,64.2430,7.396
7/13/2019,09:45:00 am,0,64.3126,7.524
7/13/2019,10:00:00 am,0,64.2755,7.685
7/13/2019,10:15:00 am,0,64.3447,7.811
7/13/2019,10:30:00 am,0,64.3265,7.880
7/13/2019,10:45:00 am,0,64.3323,7.981
7/13/2019,11:00:00 am,0,64.3192,8.159
7/13/2019,11:15:00 am,0,64.2703,8.536
7/13/2019,11:30:00 am,0,64.3902,8.723
7/13/2019,11:45:00 am,0,64.3285,8.797
7/13/2019,12:00:00 pm,0,64.2819,8.928
7/13/2019,12:15:00 pm,0,64.2988,9.237
7/13/2019,12:30:00 pm,0,64.2828,9.394
7/13/2019,12:45:00 pm,0,64.3303,9.647
7/13/2019,01:00:00 pm,0,64.2827,9.805
7/13/2019,01:15:00 pm,0,64.3073,9.915
7/13/2019,01:30:00 pm,0,64.2615,10.076
7/13/2019,01:45:00 pm,0,64.2158,10.178
7/13/2019,02:00:00 pm,0,64.3129,10.515
7/13/2019,02:15:00 pm,0,64.2633,10.698
7/13/2019,02:30:00 pm,0,64.1025,10.793
7/13/2019,02:45:00 pm,0,64.2200,10.700
7/13/2019,03:00:00 pm,0,64.1115,10.781
7/13/2019,03:15:00 pm,0,64.1886,11.110
7/13/2019,03:30:00 pm,0,64.2022,11.288
7/13/2019,03:45:00 pm,0,64.1455,11.512
7/13/2019,04:00:00 pm,0,64.1112,11.611
7/13/2019,04:15:00 pm,0,64.1201,11.605
7/13/2019,04:30:00 pm,0,64.1812,11.555
7/13/2019,04:45:00 pm,0,64.1041,11.347
7/13/2019,05:00:00 pm,0,64.1202,11.148
7/13/2019,05:15:00 pm,0,64.2156,10.945
7/13/2019,05:30:00 pm,0,64.1343,10.761
7/13/2019,05:45:00 pm,0,64.1374,10.559
7/13/2019,06:00:00 pm,0,64.1931,10.315
7/13/2019,06:15:00 pm,0,64.1557,10.078
7/13/2019,06:30:00 pm,0,64.1742,9.858
7/13/2019,06:45:00 pm,0,64.1086,9.669
7/13/2019,07:00:00 pm,0,64.2030,9.517
7/13/2019,07:15:00 pm,0,64.3059,9.398
7/13/2019,07:30:00 pm,0,64.2575,9.247
7/13/2019,07:45:00 pm,0,64.2361,9.134
7/13/2019,08:00:00 pm,0,64.2463,9.002
7/13/2019,08:15:00 pm,0,64.3238,8.887
7/13/2019,08:30:00 pm,0,64.2287,8.793
7/13/2019,08:45:00 pm,0,64.2746,8.700
7/13/2019,09:00:00 pm,0,64.3228,8.598
7/13/2019,09:15:00 pm,0,64.3129,8.516
7/13/2019,09:30:00 pm,0,64.2792,8.433
7/13/2019,09:45:00 pm,0,64.2547,8.353
7/13/2019,10:00:00 pm,0,64.3166,8.283
7/13/2019,10:15:00 pm,0,64.2484,8.218
7/13/2019,10:30:00 pm,0,64.2891,8.151
7/13/2019,10:45:00 pm,0,64.2272,8.085
7/13/2019,11:00:00 pm,0,64.2738,8.019
7/13/2019,11:15:00 pm,0,64.2535,7.959
7/13/2019,11:30:00 pm,0,64.3116,7.910
7/13/2019,11:45:00 pm,0,64.2247,7.835
7/14/2019,12:00:00 am,0,64.2995,7.746
7/14/2019,12:15:00 am,0,64.2669,7.673
7/14/2019,12:30:00 am,0,64.3090,7.585
7/14/2019,12:45:00 am,0,64.2299,7.497
7/14/2019,01:00:00 am,0,64.2761,7.397
7/14/2019,01:15:00 am,0,64.2473,7.313
7/14/2019,01:30:00 am,0,64.2293,7.244
7/14/2019,01:45:00 am,0,64.1789,7.182
7/14/2019,02:00:00 am,0,64.2023,7.138
7/14/2019,02:15:00 am,0,64.2061,7.103
7/14/2019,02:30:00 am,0,64.1559,7.073
7/14/2019,02:45:00 am,0,64.1575,7.042
7/14/2019,03:00:00 am,0,64.1585,7.012
7/14/2019,03:15:00 am,0,64.1752,6.979
7/14/2019,03:30:00 am,0,64.2081,6.950
7/14/2019,03:45:00 am,0,64.2282,6.892
7/14/2019,04:00:00 am,0,64.1564,6.852
7/14/2019,04:15:00 am,0,64.1943,6.800
7/14/2019,04:30:00 am,0,64.2302,6.746
7/14/2019,04:45:00 am,0,64.1967,6.694
7/14/2019,05:00:00 am,0,64.2248,6.629
7/14/2019,05:15:00 am,0,64.1953,6.558
7/14/2019,05:30:00 am,0,64.2193,6.503
7/14/2019,05:45:00 am,0,64.2199,6.453
7/14/2019,06:00:00 am,0,64.2147,6.405
7/14/2019,06:15:00 am,0,64.2420,6.343
7/14/2019,06:30:00 am,0,64.2695,6.284
7/14/2019,06:45:00 am,0,64.2913,6.238
7/14/2019,07:00:00 am,0,64.3177,6.214
7/14/2019,07:15:00 am,0,64.3256,6.197
7/14/2019,07:30:00 am,0,64.3398,6.229
7/14/2019,07:45:00 am,0,64.4058,6.236
7/14/2019,08:00:00 am,0,64.4593,6.161
7/14/2019,08:15:00 am,0,64.5039,6.078
7/14/2019,08:30:00 am,0,64.5529,6.070
7/14/2019,08:45:00 am,0,64.5579,6.040
7/14/2019,09:00:00 am,0,64.5981,5.956
7/14/2019,09:15:00 am,0,64.5914,5.769
7/14/2019,09:30:00 am,0,64.6267,5.678
7/14/2019,09:45:00 am,0,64.6570,5.786
7/14/2019,10:00:00 am,0,64.7376,5.918
7/14/2019,10:15:00 am,0,64.8071,5.880
7/14/2019,10:30:00 am,0,64.8789,5.933
7/14/2019,10:45:00 am,0,65.0285,6.126
7/14/2019,11:00:00 am,0,65.0477,6.251
7/14/2019,11:15:00 am,0,65.1078,6.339
7/14/2019,11:30:00 am,0,65.4447,6.389
7/14/2019,11:45:00 am,0,65.4496,6.311
7/14/2019,12:00:00 pm,0,65.5950,6.531
7/14/2019,12:15:00 pm,0,65.6052,6.700
7/14/2019,12:30:00 pm,0,65.6897,6.760
7/14/2019,12:45:00 pm,0,65.8265,6.858
7/14/2019,01:00:00 pm,0,65.7420,6.885
7/14/2019,01:15:00 pm,0,65.7854,6.812
7/14/2019,01:30:00 pm,0,65.9557,6.811
7/14/2019,01:45:00 pm,0,66.1265,6.811
7/14/2019,02:00:00 pm,0,65.9925,6.777
7/14/2019,02:15:00 pm,0,66.0443,6.730
7/14/2019,02:30:00 pm,0,65.9727,6.715
7/14/2019,02:45:00 pm,0,65.8579,6.697
7/14/2019,03:00:00 pm,0,65.7252,6.748
7/14/2019,03:15:00 pm,0,65.6501,6.783
7/14/2019,03:30:00 pm,0,65.6322,6.738
7/14/2019,03:45:00 pm,0,65.4707,6.683
7/14/2019,04:00:00 pm,0,65.4825,6.647
7/14/2019,04:15:00 pm,0,65.3975,6.586
7/14/2019,04:30:00 pm,0,65.2917,6.533
7/14/2019,04:45:00 pm,0,65.2933,6.489
7/14/2019,05:00:00 pm,0,65.2472,6.442
7/14/2019,05:15:00 pm,0,65.3262,6.371
7/14/2019,05:30:00 pm,0,65.2178,6.300
7/14/2019,05:45:00 pm,0,65.2817,6.226
7/14/2019,06:00:00 pm,0,65.2416,6.079
7/14/2019,06:15:00 pm,0,65.2007,5.979
7/14/2019,06:30:00 pm,0,65.1902,5.921
7/14/2019,06:45:00 pm,0,65.2225,5.832
7/14/2019,07:00:00 pm,0,65.1794,5.764
7/14/2019,07:15:00 pm,0,65.0991,5.699
7/14/2019,07:30:00 pm,0,65.1777,5.616
7/14/2019,07:45:00 pm,0,65.1931,5.556
7/14/2019,08:00:00 pm,0,65.1704,5.514
7/14/2019,08:15:00 pm,0,65.1097,5.459
7/14/2019,08:30:00 pm,0,65.0918,5.427
7/14/2019,08:45:00 pm,0,65.0847,5.391
7/14/2019,09:00:00 pm,0,65.1432,5.342
7/14/2019,09:15:00 pm,0,65.0824,5.288
7/14/2019,09:30:00 pm,0,65.0955,5.243
7/14/2019,09:45:00 pm,0,65.1270,5.209
7/14/2019,10:00:00 pm,0,65.0513,5.153
7/14/2019,10:15:00 pm,0,65.0830,5.119
7/14/2019,10:30:00 pm,0,65.0627,5.087
7/14/2019,10:45:00 pm,0,65.0503,5.033
7/14/2019,11:00:00 pm,0,65.1246,4.975
7/14/2019,11:15:00 pm,0,65.0948,4.953
7/14/2019,11:30:00 pm,0,65.0651,4.927
7/14/2019,11:45:00 pm,0,65.0056,4.897
7/15/2019,12:00:00 am,0,64.9973,4.859
7/15/2019,12:15:00 am,0,64.9850,4.822
7/15/2019,12:30:00 am,0,65.0140,4.803
7/15/2019,12:45:00 am,0,65.0110,4.756
7/15/2019,01:00:00 am,0,64.9885,4.678
7/15/2019,01:15:00 am,0,64.9841,4.577
7/15/2019,01:30:00 am,0,64.9296,4.567
7/15/2019,01:45:00 am,0,64.9392,4.558
7/15/2019,02:00:00 am,0,64.9203,4.547
7/15/2019,02:15:00 am,0,64.9620,4.484
7/15/2019,02:30:00 am,0,64.9245,4.467
7/15/2019,02:45:00 am,0,64.8911,4.453
7/15/2019,03:00:00 am,0,64.9286,4.434
7/15/2019,03:15:00 am,0,64.9616,4.351
7/15/2019,03:30:00 am,0,64.9135,4.198
7/15/2019,03:45:00 am,0,64.9861,4.217
7/15/2019,04:00:00 am,0,64.8907,4.211
7/15/2019,04:15:00 am,0,64.9378,4.195
7/15/2019,04:30:00 am,0,64.9835,4.190
