Serial_number:
2020442
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/17/2019,01:00:00 pm,0,6.3890,23.066
7/17/2019,01:15:00 pm,0,6.3703,22.475
7/17/2019,01:30:00 pm,0,6.3721,19.952
7/17/2019,01:45:00 pm,0,6.3818,17.814
7/17/2019,02:00:00 pm,0,6.3694,14.897
7/17/2019,02:15:00 pm,0,6.7165,9.956
7/17/2019,02:30:00 pm,0,6.7114,7.869
7/17/2019,02:45:00 pm,0,6.7093,7.699
7/17/2019,03:00:00 pm,0,6.7088,7.624
7/17/2019,03:15:00 pm,0,6.7067,7.579
7/17/2019,03:30:00 pm,0,6.7071,7.547
7/17/2019,03:45:00 pm,0,6.7062,7.523
7/17/2019,04:00:00 pm,0,6.7065,7.505
7/17/2019,04:15:00 pm,0,6.7063,7.492
7/17/2019,04:30:00 pm,0,6.7045,7.482
7/17/2019,04:45:00 pm,0,6.7049,7.473
7/17/2019,05:00:00 pm,0,6.7045,7.468
7/17/2019,05:15:00 pm,0,6.7054,7.464
7/17/2019,05:30:00 pm,0,6.7051,7.462
7/17/2019,05:45:00 pm,0,6.7051,7.460
7/17/2019,06:00:00 pm,0,6.7059,7.462
7/17/2019,06:15:00 pm,0,6.7063,7.464
7/17/2019,06:30:00 pm,0,6.7066,7.466
7/17/2019,06:45:00 pm,0,6.7073,7.469
7/17/2019,07:00:00 pm,0,6.7082,7.473
7/17/2019,07:15:00 pm,0,6.7092,7.477
7/17/2019,07:30:00 pm,0,6.7103,7.483
7/17/2019,07:45:00 pm,0,6.7103,7.488
7/17/2019,08:00:00 pm,0,6.7115,7.492
7/17/2019,08:15:00 pm,0,6.7117,7.498
7/17/2019,08:30:00 pm,0,6.7125,7.504
7/17/2019,08:45:00 pm,0,6.7140,7.508
7/17/2019,09:00:00 pm,0,6.7167,7.513
7/17/2019,09:15:00 pm,0,6.7174,7.516
7/17/2019,09:30:00 pm,0,6.7174,7.520
7/17/2019,09:45:00 pm,0,6.7183,7.523
7/17/2019,10:00:00 pm,0,6.7171,7.524
7/17/2019,10:15:00 pm,0,6.7181,7.526
7/17/2019,10:30:00 pm,0,6.7179,7.526
7/17/2019,10:45:00 pm,0,6.7173,7.526
7/17/2019,11:00:00 pm,0,6.7190,7.525
7/17/2019,11:15:00 pm,0,6.7181,7.524
7/17/2019,11:30:00 pm,0,6.7174,7.522
7/17/2019,11:45:00 pm,0,6.7173,7.520
7/18/2019,12:00:00 am,0,6.7176,7.517
7/18/2019,12:15:00 am,0,6.7171,7.514
7/18/2019,12:30:00 am,0,6.7158,7.509
7/18/2019,12:45:00 am,0,6.7156,7.505
7/18/2019,01:00:00 am,0,6.7144,7.499
7/18/2019,01:15:00 am,0,6.7126,7.494
7/18/2019,01:30:00 am,0,6.7119,7.488
7/18/2019,01:45:00 am,0,6.7108,7.482
7/18/2019,02:00:00 am,0,6.7085,7.474
7/18/2019,02:15:00 am,0,6.7081,7.467
7/18/2019,02:30:00 am,0,6.7068,7.459
7/18/2019,02:45:00 am,0,6.7050,7.450
7/18/2019,03:00:00 am,0,6.7028,7.442
7/18/2019,03:15:00 am,0,6.7025,7.433
7/18/2019,03:30:00 am,0,6.7029,7.424
7/18/2019,03:45:00 am,0,6.7027,7.414
7/18/2019,04:00:00 am,0,6.7022,7.404
7/18/2019,04:15:00 am,0,6.7045,7.393
7/18/2019,04:30:00 am,0,6.7047,7.383
7/18/2019,04:45:00 am,0,6.7049,7.372
7/18/2019,05:00:00 am,0,6.7034,7.361
7/18/2019,05:15:00 am,0,6.7038,7.350
7/18/2019,05:30:00 am,0,6.7040,7.339
7/18/2019,05:45:00 am,0,6.7045,7.327
7/18/2019,06:00:00 am,0,6.7042,7.316
7/18/2019,06:15:00 am,0,6.7048,7.304
7/18/2019,06:30:00 am,0,6.7046,7.292
7/18/2019,06:45:00 am,0,6.7046,7.279
7/18/2019,07:00:00 am,0,6.7054,7.268
7/18/2019,07:15:00 am,0,6.7056,7.256
7/18/2019,07:30:00 am,0,6.7063,7.244
7/18/2019,07:45:00 am,0,6.7085,7.231
7/18/2019,08:00:00 am,0,6.7094,7.219
7/18/2019,08:15:00 am,0,6.7100,7.206
7/18/2019,08:30:00 am,0,6.7083,7.194
7/18/2019,08:45:00 am,0,6.7125,7.181
7/18/2019,09:00:00 am,0,6.7126,7.168
7/18/2019,09:15:00 am,0,6.7125,7.156
7/18/2019,09:30:00 am,0,6.7119,7.143
7/18/2019,09:45:00 am,0,6.7106,7.131
7/18/2019,10:00:00 am,0,6.7108,7.120
7/18/2019,10:15:00 am,0,6.7108,7.107
7/18/2019,10:30:00 am,0,6.7119,7.095
7/18/2019,10:45:00 am,0,6.7113,7.084
7/18/2019,11:00:00 am,0,6.7124,7.073
7/18/2019,11:15:00 am,0,6.7125,7.063
7/18/2019,11:30:00 am,0,6.7120,7.053
7/18/2019,11:45:00 am,0,6.7120,7.044
7/18/2019,12:00:00 pm,0,6.7124,7.036
7/18/2019,12:15:00 pm,0,6.7122,7.029
7/18/2019,12:30:00 pm,0,6.7102,7.022
7/18/2019,12:45:00 pm,0,6.7082,7.016
7/18/2019,01:00:00 pm,0,6.7091,7.012
7/18/2019,01:15:00 pm,0,6.7079,7.008
7/18/2019,01:30:00 pm,0,6.7067,7.006
7/18/2019,01:45:00 pm,0,6.7049,7.005
7/18/2019,02:00:00 pm,0,6.7056,7.005
7/18/2019,02:15:00 pm,0,6.7047,7.007
7/18/2019,02:30:00 pm,0,6.7027,7.011
7/18/2019,02:45:00 pm,0,6.7010,7.015
7/18/2019,03:00:00 pm,0,6.6986,7.021
7/18/2019,03:15:00 pm,0,6.6983,7.028
7/18/2019,03:30:00 pm,0,6.6980,7.036
7/18/2019,03:45:00 pm,0,6.6961,7.045
7/18/2019,04:00:00 pm,0,6.6958,7.057
7/18/2019,04:15:00 pm,0,6.6966,7.069
7/18/2019,04:30:00 pm,0,6.6979,7.082
7/18/2019,04:45:00 pm,0,6.6995,7.095
7/18/2019,05:00:00 pm,0,6.6989,7.110
7/18/2019,05:15:00 pm,0,6.6995,7.127
7/18/2019,05:30:00 pm,0,6.7008,7.144
7/18/2019,05:45:00 pm,0,6.7006,7.162
7/18/2019,06:00:00 pm,0,6.7011,7.179
7/18/2019,06:15:00 pm,0,6.7018,7.198
7/18/2019,06:30:00 pm,0,6.7021,7.216
7/18/2019,06:45:00 pm,0,6.7026,7.235
7/18/2019,07:00:00 pm,0,6.7034,7.255
7/18/2019,07:15:00 pm,0,6.7042,7.274
7/18/2019,07:30:00 pm,0,6.7033,7.293
7/18/2019,07:45:00 pm,0,6.7046,7.312
7/18/2019,08:00:00 pm,0,6.7059,7.331
7/18/2019,08:15:00 pm,0,6.7060,7.348
7/18/2019,08:30:00 pm,0,6.7066,7.366
7/18/2019,08:45:00 pm,0,6.7077,7.382
7/18/2019,09:00:00 pm,0,6.7076,7.397
7/18/2019,09:15:00 pm,0,6.7097,7.411
7/18/2019,09:30:00 pm,0,6.7096,7.425
7/18/2019,09:45:00 pm,0,6.7092,7.437
7/18/2019,10:00:00 pm,0,6.7088,7.448
7/18/2019,10:15:00 pm,0,6.7105,7.458
7/18/2019,10:30:00 pm,0,6.7087,7.467
7/18/2019,10:45:00 pm,0,6.7098,7.475
7/18/2019,11:00:00 pm,0,6.7100,7.481
7/18/2019,11:15:00 pm,0,6.7122,7.486
7/18/2019,11:30:00 pm,0,6.7127,7.491
7/18/2019,11:45:00 pm,0,6.7126,7.493
7/19/2019,12:00:00 am,0,6.7109,7.496
7/19/2019,12:15:00 am,0,6.7098,7.495
