Serial_number:
2020437
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/17/2019,01:00:00 pm,0,6.3910,23.438
7/17/2019,01:15:00 pm,0,6.3740,22.638
7/17/2019,01:30:00 pm,0,6.3751,19.752
7/17/2019,01:45:00 pm,0,6.3854,17.127
7/17/2019,02:00:00 pm,0,6.3705,15.338
7/17/2019,02:15:00 pm,0,6.3684,14.749
7/17/2019,02:30:00 pm,0,6.3527,14.417
7/17/2019,02:45:00 pm,0,6.2671,13.867
7/17/2019,03:00:00 pm,0,6.7507,6.074
7/17/2019,03:15:00 pm,0,6.7491,5.719
7/17/2019,03:30:00 pm,0,6.7474,5.642
7/17/2019,03:45:00 pm,0,6.7467,5.601
7/17/2019,04:00:00 pm,0,6.7464,5.574
7/17/2019,04:15:00 pm,0,6.7465,5.555
7/17/2019,04:30:00 pm,0,6.7454,5.544
7/17/2019,04:45:00 pm,0,6.7449,5.535
7/17/2019,05:00:00 pm,0,6.7448,5.530
7/17/2019,05:15:00 pm,0,6.7442,5.526
7/17/2019,05:30:00 pm,0,6.7442,5.522
7/17/2019,05:45:00 pm,0,6.7444,5.516
7/17/2019,06:00:00 pm,0,6.7456,5.511
7/17/2019,06:15:00 pm,0,6.7447,5.503
7/17/2019,06:30:00 pm,0,6.7450,5.493
7/17/2019,06:45:00 pm,0,6.7452,5.479
7/17/2019,07:00:00 pm,0,6.7461,5.464
7/17/2019,07:15:00 pm,0,6.7461,5.449
7/17/2019,07:30:00 pm,0,6.7466,5.435
7/17/2019,07:45:00 pm,0,6.7472,5.421
7/17/2019,08:00:00 pm,0,6.7491,5.411
7/17/2019,08:15:00 pm,0,6.7483,5.400
7/17/2019,08:30:00 pm,0,6.7485,5.390
7/17/2019,08:45:00 pm,0,6.7504,5.381
7/17/2019,09:00:00 pm,0,6.7512,5.371
7/17/2019,09:15:00 pm,0,6.7510,5.362
7/17/2019,09:30:00 pm,0,6.7514,5.354
7/17/2019,09:45:00 pm,0,6.7518,5.346
7/17/2019,10:00:00 pm,0,6.7516,5.338
7/17/2019,10:15:00 pm,0,6.7514,5.330
7/17/2019,10:30:00 pm,0,6.7517,5.321
7/17/2019,10:45:00 pm,0,6.7517,5.313
7/17/2019,11:00:00 pm,0,6.7517,5.304
7/17/2019,11:15:00 pm,0,6.7513,5.296
7/17/2019,11:30:00 pm,0,6.7514,5.289
7/17/2019,11:45:00 pm,0,6.7511,5.283
7/18/2019,12:00:00 am,0,6.7507,5.275
7/18/2019,12:15:00 am,0,6.7504,5.268
7/18/2019,12:30:00 am,0,6.7498,5.263
7/18/2019,12:45:00 am,0,6.7494,5.255
7/18/2019,01:00:00 am,0,6.7486,5.245
7/18/2019,01:15:00 am,0,6.7479,5.236
7/18/2019,01:30:00 am,0,6.7476,5.226
7/18/2019,01:45:00 am,0,6.7466,5.219
7/18/2019,02:00:00 am,0,6.7450,5.212
7/18/2019,02:15:00 am,0,6.7447,5.203
7/18/2019,02:30:00 am,0,6.7445,5.194
7/18/2019,02:45:00 am,0,6.7437,5.187
7/18/2019,03:00:00 am,0,6.7420,5.179
7/18/2019,03:15:00 am,0,6.7399,5.173
7/18/2019,03:30:00 am,0,6.7406,5.162
7/18/2019,03:45:00 am,0,6.7406,5.151
7/18/2019,04:00:00 am,0,6.7404,5.138
7/18/2019,04:15:00 am,0,6.7406,5.127
7/18/2019,04:30:00 am,0,6.7408,5.119
7/18/2019,04:45:00 am,0,6.7408,5.113
7/18/2019,05:00:00 am,0,6.7407,5.107
7/18/2019,05:15:00 am,0,6.7401,5.102
7/18/2019,05:30:00 am,0,6.7406,5.097
7/18/2019,05:45:00 am,0,6.7407,5.094
7/18/2019,06:00:00 am,0,6.7404,5.089
7/18/2019,06:15:00 am,0,6.7414,5.087
7/18/2019,06:30:00 am,0,6.7415,5.085
7/18/2019,06:45:00 am,0,6.7416,5.082
7/18/2019,07:00:00 am,0,6.7420,5.081
7/18/2019,07:15:00 am,0,6.7429,5.079
7/18/2019,07:30:00 am,0,6.7434,5.076
7/18/2019,07:45:00 am,0,6.7444,5.076
7/18/2019,08:00:00 am,0,6.7449,5.076
7/18/2019,08:15:00 am,0,6.7453,5.075
7/18/2019,08:30:00 am,0,6.7454,5.075
7/18/2019,08:45:00 am,0,6.7461,5.077
7/18/2019,09:00:00 am,0,6.7455,5.082
7/18/2019,09:15:00 am,0,6.7464,5.099
7/18/2019,09:30:00 am,0,6.7464,5.121
7/18/2019,09:45:00 am,0,6.7460,5.144
